No.,Estado,Sistema,Nombre_común,Género,Especie,Región, Localidad,Latitud,Longitud,Altitud,CodMunicip,Municipio
NA,Oaxaca,Agroforestal,guanabana,Annona,muricata,region loxicha,la sirena miramar,16.03476944,-97.0343,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,guanabana,Annona,muricata,region loxicha,Chipa,16.03476944,-97.0343,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,guanabana,Annona,muricata,region loxicha,Cerro cantor,16.03476944,-97.0343,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Platano,Musa,sp,region loxicha,cerro cantor,16.03476667,-97.03429722,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Águila,Aquila,chrysaetos,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Monocultivo,Café,Coffea,arabica,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,Cuachepil,Diphysa,robinioides,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,Fresno,Fraxinus,sp,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,laureles,Laurus,nobilis,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,tepeguaje,Lysiloma,acapulcense,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,Aguacate,Persea,americana,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Monocultivo,frijol,Phaseolus,vulgaris,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,Pino-ocote,Pinus,sp,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,Pino-gretado,Pinus,sp,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
